#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
2003 5 374.82395615417
2003 6 374.999209477217
2003 7 375.174741272465
2003 8 375.350551846554
2003 9 375.526641508332
2003 10 375.703010565601
2003 11 375.879659327329
2003 12 376.056588100619
2004 1 376.233797193971
2004 2 376.411286915652
2004 3 376.589057573932
2004 4 376.767109477194
2004 5 376.945442932658
2004 6 377.124058249523
2004 7 377.302955734893
2004 8 377.482135698316
2004 9 377.661598446546
2004 10 377.841344288783
2004 11 378.02137353248
2004 12 378.201686486369
2005 1 378.382283457788
2005 2 378.563164756168
2005 3 378.744330688729
2005 4 378.92578156339
2005 5 379.107517688768
2005 6 379.289539373247
2005 7 379.471846924862
2005 8 379.654440651415
2005 9 379.837320861523
2005 10 380.020487862872
2005 11 380.203941964195
2005 12 380.387683472596
2006 1 380.571712697623
2006 2 380.756029946613
2006 3 380.940635527833
2006 4 381.125529749203
2006 5 381.310712919687
2006 6 381.496185346856
2006 7 381.681947338511
2006 8 381.86799920327
2006 9 382.054341249517
2006 10 382.24097378552
2006 11 382.427897118381
2006 12 382.615111557185
2007 1 382.802617409616
2007 2 382.990414984059
2007 3 383.17850458913
2007 4 383.366886532516
2007 5 383.55556112167
2007 6 383.744528666139
2007 7 383.933789473143
2007 8 384.123343851301
2007 9 384.31319210853
2007 10 384.503334552748
2007 11 384.693771492573
2007 12 384.88450323604
2008 1 385.075530091417
2008 2 385.266852366156
2008 3 385.45847036934
2008 4 385.650384408655
2008 5 385.842594792368
2008 6 386.035101828398
2008 7 386.227905825712
2008 8 386.421007091529
2008 9 386.61440593435
2008 10 386.808102662093
2008 11 387.002097583842
2008 12 387.196391006699
2009 1 387.390983239049
2009 2 387.585874589044
2009 3 387.781065365183
2009 4 387.976555875619
2009 5 388.17234642827
2009 6 388.368437331403
2009 7 388.564828893053
2009 8 388.761521421256
2009 9 388.958515224513
2009 10 389.155810610973
2009 11 389.35340788844
2009 12 389.551307365415
2010 1 389.749509349698
2010 2 389.948014150257
2010 3 390.146822073846
2010 4 390.34593343013
2010 5 390.545348526211
2010 6 390.745067670825
2010 7 390.945091171656
2010 8 391.14541933767
2010 9 391.346052476205
2010 10 391.546990895295
2010 11 391.748234903673
2010 12 391.949784809607
2011 1 392.151640921249
2011 2 392.353803545586
2011 3 392.556272992399
2011 4 392.759049568675
2011 5 392.962133583729
2011 6 393.165525343968
2011 7 393.36922515952
2011 8 393.573233336792
2011 9 393.777550185332
2011 10 393.98217601236
2011 11 394.18711112719
2011 12 394.392355836462
2012 1 394.597910449025
2012 2 394.803775273147
2012 3 395.009950617212
2012 4 395.216436789138
2012 5 395.423234096728
2012 6 395.630342848483
2012 7 395.837763352436
2012 8 396.045495916973
2012 9 396.253540849779
2012 10 396.46189845982
2012 11 396.670569054317
2012 12 396.879552942235
2013 1 397.088850430911
2013 2 397.298461829778
2013 3 397.508387445589
2013 4 397.718627587077
2013 5 397.929182562395
2013 6 398.140052679926
2013 7 398.351238248055
2013 8 398.562739573768
2013 9 398.774556966498
2013 10 398.986690733116
2013 11 399.199141183402
2013 12 399.411908623879
2014 1 399.624993364443
2014 2 399.8383957115
2014 3 400.052115974016
2014 4 400.26615446026
2014 5 400.480511478614
